w1gmag,w1gerr,w2gmag,w2gerr,w3gmag,w3gerr,w1mag_2,w1sigm_2,w2mag_2,w2sigm_2,w3mag_2,w3sigm_2,w1gflg,w1flg_2,w2gflg,w2flg_2,w3gflg,w3flg_2,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,cc_flags
12.629,0.007,12.461,0.01,10.716,0.089,12.807,0.008,12.65,0.01,10.945,0.092,17.0,16.0,1.0,0.0,0.0,0.0,18.37282,0.005164135,17.41822,0.003454554,0000
12.9,0.007,12.736,0.013,11.064,0.093,12.984,0.007,12.821,0.014,11.19,0.098,0.0,0.0,0.0,0.0,0.0,0.0,18.38149,0.005309715,17.52088,0.003697566,0000
13.189,0.01,13.167,0.026,11.078,0.084,13.325,0.011,13.313,0.027,11.295,0.092,1.0,1.0,1.0,1.0,1.0,1.0,18.79517,0.007779867,17.8952,0.005256231,0000
11.24,0.006,11.015,0.006,8.061,0.009,11.881,0.006,11.631,0.007,8.883,0.011,16.0,16.0,16.0,0.0,0.0,0.0,18.11115,0.005338063,17.09861,0.003243998,0000
12.952,0.008,12.933,0.016,11.233,0.083,12.934,0.008,12.91,0.016,11.209,0.083,0.0,0.0,0.0,0.0,0.0,0.0,18.27459,0.005591463,17.32703,0.003678292,0000
12.057,0.007,11.044,0.007,8.307,0.038,12.134,0.007,11.12,0.007,8.433,0.04,1.0,1.0,1.0,1.0,1.0,1.0,18.73061,0.008590081,17.77544,0.007311379,00dD
12.316,0.007,12.19,0.012,10.206,0.053,12.533,0.008,12.422,0.012,10.525,0.056,1.0,1.0,1.0,1.0,1.0,1.0,17.2843,0.002896873,16.56457,0.002131633,0000
12.743,0.007,12.402,0.014,8.987,0.015,12.834,0.007,12.49,0.015,9.099,0.016,1.0,1.0,1.0,1.0,1.0,1.0,18.69177,0.006466103,17.97803,0.004692895,0000
12.216,0.007,12.025,0.012,8.763,0.014,12.575,0.007,12.4,0.012,9.267,0.015,0.0,0.0,0.0,0.0,0.0,0.0,18.45567,0.006874217,17.59863,0.00378785,0000
13.186,0.008,13.111,0.016,11.981,0.124,13.237,0.008,13.166,0.016,12.07,0.129,0.0,0.0,0.0,0.0,0.0,0.0,18.09978,0.005549122,17.30754,0.003857376,0000
12.665,0.007,12.614,0.012,10.889,0.055,12.787,0.007,12.749,0.012,11.069,0.057,1.0,1.0,1.0,1.0,1.0,1.0,17.65323,0.004099062,16.90603,0.003044077,0000
12.744,0.008,12.664,0.014,10.236,0.054,12.952,0.008,12.892,0.015,10.544,0.063,1.0,1.0,1.0,1.0,1.0,1.0,19.11859,0.009301632,18.09039,0.00610356,0000
12.51,0.009,12.292,0.011,8.85,0.012,12.687,0.009,12.473,0.011,9.062,0.013,1.0,1.0,1.0,1.0,1.0,1.0,18.99773,0.03457049,18.08064,0.05849962,0000
12.301,0.007,12.243,0.009,10.124,0.03,12.559,0.007,12.52,0.01,10.474,0.033,1.0,0.0,1.0,0.0,1.0,0.0,18.19454,0.00460168,17.25223,0.003036137,0000
10.754,0.006,10.55,0.008,7.725,0.013,11.37,0.006,11.136,0.007,8.472,0.011,1.0,0.0,1.0,0.0,1.0,0.0,16.91998,0.002381872,16.1276,0.001813332,0000
12.315,0.007,12.235,0.011,10.668,0.075,12.659,0.007,12.604,0.011,11.183,0.085,1.0,1.0,1.0,1.0,1.0,1.0,17.72608,0.00349449,16.97774,0.002682399,0000
12.419,0.006,12.182,0.009,10.795,0.06,12.478,0.006,12.242,0.009,10.87,0.062,0.0,0.0,0.0,0.0,0.0,0.0,18.2871,0.00987383,17.28797,0.01456101,0h00
11.483,0.007,11.463,0.008,9.004,0.019,11.819,0.007,11.832,0.008,9.491,0.021,1.0,0.0,1.0,0.0,1.0,0.0,16.75197,0.03602391,16.03848,0.02205897,0000
12.256,0.007,12.051,0.011,9.128,0.018,12.402,0.007,12.181,0.011,9.277,0.018,1.0,1.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
11.806,0.006,11.662,0.008,9.231,0.019,11.986,0.006,11.853,0.008,9.487,0.02,1.0,0.0,1.0,0.0,1.0,0.0,17.51847,0.003333861,16.64954,0.002619568,0000
13.793,0.015,13.759,0.029,10.716,0.082,13.991,0.016,13.959,0.031,10.936,0.088,0.0,0.0,0.0,0.0,0.0,0.0,19.49658,0.01047768,18.86226,0.00918704,0000
10.422,0.006,10.379,0.007,7.981,0.01,11.163,0.006,11.152,0.006,9.098,0.012,1.0,0.0,1.0,0.0,1.0,0.0,17.32763,0.003287123,16.28274,0.002223806,0000
12.259,0.006,11.999,0.009,9.807,0.026,12.343,0.006,12.087,0.01,9.942,0.027,1.0,1.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
12.629,0.009,12.564,0.015,10.546,0.052,12.711,0.009,12.643,0.016,10.597,0.054,1.0,1.0,1.0,1.0,1.0,1.0,18.13489,0.03513978,17.24701,0.05772367,0000
13.404,0.011,13.422,0.029,11.432,0.189,13.396,0.011,13.414,0.03,11.424,0.192,17.0,17.0,1.0,1.0,1.0,1.0,19.15073,0.01572183,18.14335,0.02051627,0000
11.421,0.006,11.245,0.009,8.533,0.017,12.334,0.006,12.076,0.009,9.61,0.019,1.0,0.0,1.0,0.0,1.0,0.0,18.23991,0.004934586,17.40837,0.004296876,0000
13.843,0.011,13.724,0.028,11.166,0.062,13.834,0.011,13.71,0.028,11.146,0.063,1.0,1.0,1.0,1.0,1.0,1.0,19.26381,0.009431751,18.4139,0.006093383,0000
12.62,0.008,12.555,0.016,9.63,0.028,12.927,0.008,12.871,0.018,10.041,0.033,0.0,0.0,0.0,0.0,0.0,0.0,18.77429,0.008127193,17.92531,0.005541596,0000
12.225,0.007,12.167,0.013,10.206,0.055,12.432,0.007,12.387,0.013,10.556,0.063,0.0,0.0,16.0,0.0,0.0,0.0,18.1471,0.005067137,17.14992,0.00290228,0000
